OBD_Code,Description,Description_Length,Prefix
P2ABA,Wastegate Position Sensor B Circuit,35,P2
P2ABB,Wastegate Position Sensor B Circuit Low,39,P2
P2ABC,Wastegate Position Sensor B Circuit High,40,P2
P2ABD,Turbocharger/Supercharger Wastegate Actuator A Driver Current/Temperature Too High,82,P2
P2ABE,Turbocharger/Supercharger Wastegate Actuator B Driver Current/Temperature Too High,82,P2
P2ABF,Intake Air O2 Sensor Reference Voltage Circuit/Open Bank 1,58,P2
P2AC0,Intake Air O2 Sensor Reference Voltage Circuit Range/Performance Bank 1,71,P2
P2AC1,Intake Air O2 Sensor Reference Voltage Circuit Low Bank 1,57,P2
P2AC2,Intake Air O2 Sensor Reference Voltage Circuit High Bank 1,58,P2
P2AC3,Intake Air O2 Sensor Reference Voltage Circuit/Open Bank 2,58,P2
P2AC4,Intake Air O2 Sensor Reference Voltage Circuit Range/Performance Bank 2,71,P2
P2AC5,Intake Air O2 Sensor Reference Voltage Circuit Low Bank 2,57,P2
P2AC6,Intake Air O2 Sensor Reference Voltage Circuit High Bank 2,58,P2
P2AC7,Charge Air Cooler Coolant Temperature Sensor B Circuit,54,P2
P2AC8,Charge Air Cooler Coolant Temperature Sensor B Circuit Range/Performance,72,P2
P2AC9,Charge Air Cooler Coolant Temperature Sensor B Circuit Low,58,P2
P2ACA,Charge Air Cooler Coolant Temperature Sensor B Circuit High,59,P2
P2ACB,Charge Air Cooler Coolant Temperature Sensor B Intermittent/Erratic,67,P2
P2ACC,Reductant Temperature Sensor B Circuit,38,P2
P2ACD,Reductant Temperature Sensor B Circuit Range/Performance,56,P2
P2ACE,Reductant Temperature Sensor B Circuit Low,42,P2
P2ACF,Reductant Temperature Sensor B Circuit High,43,P2
P2AD0,Reductant Temperature Sensor B Circuit Intermittent,51,P2
P2AD1,Throttle/Pedal Position Sensor/Switch C/G Voltage Correlation,61,P2
P2AD2,Throttle/Pedal Position Sensor/Switch B/G Voltage Correlation,61,P2
P2AD3,Throttle/Pedal Position Sensor/Switch A/G Voltage Correlation,61,P2
P2AD4,Intermediate System Voltage Low,31,P2
P2AD5,Intermediate System Voltage High,32,P2
P2AD6,Reductant Pump Motor Position Sensor Circuit,44,P2
P2AD7,Reductant Pump Motor Position Sensor Circuit Range/Performance,62,P2
P2AD8,Reductant Pump Motor Position Sensor Circuit Low,48,P2
P2AD9,Reductant Pump Motor Position Sensor Circuit High,49,P2
P2ADA,Reductant Tank Temperature Sensor B Circuit Range/Performance,61,P2
P2ADB,Reductant Tank Temperature Sensor B Circuit Low,47,P2
P2ADC,Reductant Tank Temperature Sensor B Circuit High,48,P2
P2ADD,Reductant Tank Temperature Sensor B Circuit Intermittent/Erratic,64,P2
P2ADE,Reductant Tank Temperature Sensor B Circuit,43,P2
P2ADF,Intake Air System Leak Bank 2,29,P2
P2AE0,Intake Air O2 Sensor Pumping Current Trim Circuit Open Bank 1,61,P2
P2AE1,Intake Air O2 Sensor Pumping Current Trim Circuit Low Bank 1,60,P2
P2AE2,Intake Air O2 Sensor Pumping Current Trim Circuit High Bank 1,61,P2
P2AE3,Intake Air O2 Sensor Pumping Current Circuit Open Bank 1,56,P2
P2AE4,Intake Air O2 Sensor Pumping Current Circuit Low Bank 1,55,P2
P2AE5,Intake Air O2 Sensor Pumping Current Circuit High Bank 1,56,P2
P2AE6,Intake Air O2 Sensor Negative Current Control Circuit Open Bank 1,65,P2
P2AE7,Intake Air O2 Sensor Negative Current Control Circuit Low Bank 1,64,P2
P2AE8,Intake Air O2 Sensor Negative Current Control Circuit High Bank 1,65,P2
P2AE9,Intake Air O2 Sensor Pumping Current Trim Circuit Open Bank 2,61,P2
P2AEA,Intake Air O2 Sensor Pumping Current Trim Circuit Low Bank 2,60,P2
P2AEB,Intake Air O2 Sensor Pumping Current Trim Circuit High Bank 2,61,P2
P2AEC,Intake Air O2 Sensor Pumping Current Circuit Open Bank 2,56,P2
P2AED,Intake Air O2 Sensor Pumping Current Circuit Low Bank 2,55,P2
P2AEE,Intake Air O2 Sensor Pumping Current Circuit High Bank 2,56,P2
P2AEF,Intake Air O2 Sensor Negative Current Control Circuit Open Bank 2,65,P2
P2AF0,Intake Air O2 Sensor Negative Current Control Circuit Low Bank 2,64,P2
P2AF1,Intake Air O2 Sensor Negative Current Control Circuit High Bank 2,65,P2
P2AF2,Starter Relay C Control Circuit/Open,36,P2
P2AF3,Starter Relay C Control Circuit Low,35,P2
P2AF4,Starter Relay C Control Circuit High,36,P2
P2AF5,Starter Relay C Stuck On,24,P2
P2AF6,Starter Relay C Stuck Off,25,P2
P2AF7,Starter Relay D Control Circuit/Open,36,P2
P2AF8,Starter Relay D Control Circuit Low,35,P2
P2AF9,Starter Relay D Control Circuit High,36,P2
P2AFA,Starter Relay D Stuck On,24,P2
P2AFB,Starter Relay D Stuck Off,25,P2
P2AFC,Engine Coolant Temperature Sensor 4 Circuit,43,P2
P2AFD,Engine Coolant Temperature Sensor 4 Circuit Range/Performance,61,P2
P2AFE,Engine Coolant Temperature Sensor 4 Circuit Low,47,P2
P2AFF,Engine Coolant Temperature Sensor 4 Circuit High,48,P2
P2B00,Cylinder 1 Injection Pulse Performance,38,P2
P2B01,Cylinder 2 Injection Pulse Performance,38,P2
P2B02,Cylinder 3 Injection Pulse Performance,38,P2
P2B03,Cylinder 4 Injection Pulse Performance,38,P2
P2B04,Cylinder 5 Injection Pulse Performance,38,P2
P2B05,Cylinder 6 Injection Pulse Performance,38,P2
P2B06,Cylinder 7 Injection Pulse Performance,38,P2
P2B07,Cylinder 8 Injection Pulse Performance,38,P2
P2B08,Cold Start Cylinder 1 Injection Pulse Performance,49,P2
P2B09,Cold Start Cylinder 2 Injection Pulse Performance,49,P2
P2B0A,Cold Start Cylinder 3 Injection Pulse Performance,49,P2
P2B0B,Cold Start Cylinder 4 Injection Pulse Performance,49,P2
P2B0C,Cold Start Cylinder 5 Injection Pulse Performance,49,P2
P2B0D,Cold Start Cylinder 6 Injection Pulse Performance,49,P2
P2B0E,Cold Start Cylinder 7 Injection Pulse Performance,49,P2
P2B0F,Cold Start Cylinder 8 Injection Pulse Performance,49,P2
P2B10,Cylinder 1 Injection Pulse Offset Not Learned,45,P2
P2B11,Cylinder 1 Injection Pulse Offset Exceeded Learning Limit,57,P2
P2B12,Cylinder 2 Injection Pulse Offset Not Learned,45,P2
P2B13,Cylinder 2 Injection Pulse Offset Exceeded Learning Limit,57,P2
P2B14,Cylinder 3 Injection Pulse Offset Not Learned,45,P2
P2B15,Cylinder 3 Injection Pulse Offset Exceeded Learning Limit,57,P2
P2B16,Cylinder 4 Injection Pulse Offset Not Learned,45,P2
P2B17,Cylinder 4 Injection Pulse Offset Exceeded Learning Limit,57,P2
P2B18,Cylinder 5 Injection Pulse Offset Not Learned,45,P2
P2B19,Cylinder 5 Injection Pulse Offset Exceeded Learning Limit,57,P2
P2B1A,Cylinder 6 Injection Pulse Offset Not Learned,45,P2
P2B1B,Cylinder 6 Injection Pulse Offset Exceeded Learning Limit,57,P2
P2B1C,Cylinder 7 Injection Pulse Offset Not Learned,45,P2
P2B1D,Cylinder 7 Injection Pulse Offset Exceeded Learning Limit,57,P2
P2B1E,Cylinder 8 Injection Pulse Offset Not Learned,45,P2
P2B1F,Cylinder 8 Injection Pulse Offset Exceeded Learning Limit,57,P2
P2B20,Hybrid/EV Electronics Coolant Temperature Sensor B Circuit,58,P2
P2B21,Hybrid/EV Electronics Coolant Temperature Sensor B Circuit Range/Perfomance,75,P2
P2B22,Hybrid/EV Electronics Coolant Temperature Sensor B Circuit Low,62,P2
P2B23,Hybrid/EV Electronics Coolant Temperature Sensor B Circuit High,63,P2
P2B24,Hybrid/EV Electronics Coolant Temperature Sensor C Circuit,58,P2
P2B25,Hybrid/EV Electronics Coolant Temperature Sensor C Circuit Range/Perfomance,75,P2
P2B26,Hybrid/EV Electronics Coolant Temperature Sensor C Circuit Low,62,P2
P2B27,Hybrid/EV Electronics Coolant Temperature Sensor C Circuit High,63,P2
P2B28,Hybrid/EV Battery Pack Coolant Pump A Performance,49,P2
P2B29,Hybrid/EV Battery Pack Coolant Pump A Overspeed - Dry Run,57,P2
P2B2A,Hybrid/EV Electronics Coolant Pump A Overspeed - Dry Run,56,P2
P2B2B,Engine Coolant Temperature Sensor 5 Circuit,43,P2
P2B2C,Engine Coolant Temperature Sensor 5 Circuit Range/Performance,61,P2
P2B2D,Engine Coolant Temperature Sensor 5 Circuit Low,47,P2
P2B2E,Engine Coolant Temperature Sensor 5 Circuit High,48,P2
P2B2F,Fan 1 Performance/Stuck Off,27,P2
P2B30,Fan 1 Stuck On,14,P2
P2B31,Fan 2 Performance/Stuck Off,27,P2
P2B32,Fan 2 Stuck On,14,P2
P2B33,A Camshaft Profile Actuator B Control Circuit/Open Bank 1,57,P2
P2B34,A Camshaft Profile Actuator B Control Circuit Low Bank 1,56,P2
P2B35,A Camshaft Profile Actuator B Control Circuit High Bank 1,57,P2
P2B36,A Camshaft Profile Actuator B Control Circuit/Open Bank 2,57,P2
P2B37,A Camshaft Profile Actuator B Control Circuit Low Bank 2,56,P2
P2B38,A Camshaft Profile Actuator B Control Circuit High Bank 2,57,P2
P2B39,B Camshaft Profile Actuator B Control Circuit/Open Bank 1,57,P2
P2B3A,B Camshaft Profile Actuator B Control Circuit Low Bank 1,56,P2
P2B3B,B Camshaft Profile Actuator B Control Circuit High Bank 1,57,P2
P2B3C,B Camshaft Profile Actuator B Control Circuit/Open Bank 2,57,P2
P2B3D,B Camshaft Profile Actuator B Control Circuit Low Bank 2,56,P2
P2B3E,B Camshaft Profile Actuator B Control Circuit High Bank 2,57,P2
P2B3F,A Camshaft Position Actuator Position Sensor B Circuit Bank 1,61,P2
P2B40,A Camshaft Position Actuator Position Sensor B Range/Performance Bank 1,71,P2
P2B41,A Camshaft Position Actuator Position Sensor B Circuit Low Bank 1,65,P2
P2B42,A Camshaft Position Actuator Position Sensor B Circuit High Bank 1,66,P2
P2B43,A Camshaft Position Actuator Position Sensor B Circuit Bank 2,61,P2
P2B44,A Camshaft Position Actuator Position Sensor B Range/Performance Bank 2,71,P2
P2B45,A Camshaft Position Actuator Position Sensor B Circuit Low Bank 2,65,P2
P2B46,A Camshaft Position Actuator Position Sensor B Circuit High Bank 2,66,P2
P2B47,B Camshaft Position Actuator Position Sensor B Circuit Bank 1,61,P2
P2B48,B Camshaft Position Actuator Position Sensor B Range/Performance Bank 1,71,P2
P2B49,B Camshaft Position Actuator Position Sensor B Circuit Low Bank 1,65,P2
P2B4A,B Camshaft Position Actuator Position Sensor B Circuit High Bank 1,66,P2
P2B4B,B Camshaft Position Actuator Position Sensor B Circuit Bank 2,61,P2
P2B4C,B Camshaft Position Actuator Position Sensor B Range/Performance Bank 2,71,P2
P2B4D,B Camshaft Position Actuator Position Sensor B Circuit Low Bank 2,65,P2
P2B4E,B Camshaft Position Actuator Position Sensor B Circuit High Bank 2,66,P2
P2B4F,A Camshaft Profile Actuator B Control Performance/Stuck Off Bank 1,66,P2
P2B50,A Camshaft Profile Actuator B Control Performance/Stuck Off Bank 2,66,P2
P2B51,B Camshaft Profile Actuator B Control Performance/Stuck Off Bank 1,66,P2
P2B52,B Camshaft Profile Actuator B Control Performance/Stuck Off Bank 2,66,P2
P2B53,A Camshaft Profile Actuator B Control Stuck On Bank 1,53,P2
P2B54,A Camshaft Profile Actuator B Control Stuck On Bank 2,53,P2
P2B55,B Camshaft Profile Actuator B Control Stuck On Bank 1,53,P2
P2B56,B Camshaft Profile Actuator B Control Stuck On Bank 2,53,P2
P2B57,Low Engine Oil Pressure - Camshaft Control Disabled,51,P2
P2B58,Engine Coolant Flow Control Valve Motor Current High,52,P2
P2B59,Engine Coolant Flow Control Valve Control Circuit/Open,54,P2
P2B5A,Engine Coolant Flow Control Valve Control Circuit Low,53,P2
P2B5B,Engine Coolant Flow Control Valve Control Circuit High,54,P2
P2B5C,Engine Coolant Flow Control Valve Supply Circuit Low,52,P2
P2B5D,Engine Coolant Flow Control Valve Position Sensor Circuit,57,P2
P2B5E,Engine Coolant Flow Control Valve Position Sensor Circuit Low,61,P2
P2B5F,Engine Coolant Flow Control Valve Position Sensor Circuit High,62,P2
P2B60,Engine Coolant Flow Control Valve Position Sensor Circuit Range/Performance,75,P2
P2B61,Engine Coolant Flow Control Valve Stuck Closed,46,P2
P2B62,Coolant Pump B Supply Voltage Circuit,37,P2
P2B63,Coolant Pump B Stuck/Stalled,28,P2
P2B64,Coolant Pump B Control Module Overtemperature,45,P2
P2B65,Coolant Pump B Overspeed/Air in System,38,P2
P2B66,Coolant Pump D Control Circuit/Open,35,P2
P2B67,Coolant Pump D Control Circuit Low,34,P2
P2B68,Coolant Pump D Control Circuit High,35,P2
P2B69,Coolant Pump D Supply Voltage Circuit,37,P2
P2B6A,Coolant Pump D Stuck/Stalled,28,P2
P2B6B,Coolant Pump D Control Module Overtemperature,45,P2
P2B6C,Coolant Pump D Overspeed/Air in System,38,P2
P2B6D,Engine Coolant Flow Control Valve Position Sensor Circuit Intermittent/Erratic,78,P2
P2B6E,Turbocharger/Supercharger A Temperature Sensor Circuit,54,P2
P2B6F,Turbocharger/Supercharger A Temperature Sensor Circuit Low,58,P2
P2B70,Turbocharger/Supercharger A Temperature Sensor Circuit High,59,P2
P2B71,Turbocharger/Supercharger A Temperature Sensor Circuit Circuit Range/Performance,80,P2
P2B72,Coolant Heater A Control Circuit/Open,37,P2
P2B73,Coolant Heater A Control Circuit Low,36,P2
P2B74,Coolant Heater A Control Circuit High,37,P2
P2B75,Coolant Heater A Control Circuit Performance,44,P2
P2B76,Coolant Heater B Control Circuit/Open,37,P2
P2B77,Coolant Heater B Control Circuit Low,36,P2
P2B78,Coolant Heater B Control Circuit High,37,P2
P2B79,Coolant Heater B Control Circuit Performance,44,P2
P2B7A,EVAP System Pressure Sensor/Switch C Circuit,44,P2
P2B7B,EVAP System Pressure Sensor/Switch C Circuit Range/Performance,62,P2
P2B7C,EVAP System Pressure Sensor/Switch C Circuit Low,48,P2
P2B7D,EVAP System Pressure Sensor/Switch C Circuit High,49,P2
P2B7E,EVAP System Pressure Sensor/Switch C Circuit Intermittent,57,P2
P2B7F,Turbocharger/Supercharger Boost Control Module A Calibration Not Learned/Programmed,83,P2
P2B80,Turbocharger/Supercharger Boost Control Module B Calibration Not Learned/Programmed,83,P2
P2B81,Wastegate Position Sensor A Circuit Performance,47,P2
P2B82,Wastegate Position Sensor B Circuit Performance,47,P2
P2B83,Charge Air Cooler Coolant Pump A Overspeed/Air In System,56,P2
P2B84,Charge Air Cooler Coolant Pump A Underspeed,43,P2
P2B85,Engine Coolant Pump Underspeed,30,P2
P2B86,Coolant Pump A Overspeed/Air in System,38,P2
P2B87,Coolant Pump A Underspeed,25,P2
P2B88,Intake Air O2 Sensor Circuit Bank 1,35,P2
P2B89,Intake Air O2 Sensor Circuit Low Voltage Bank 1,47,P2
P2B8A,Intake Air O2 Sensor Circuit High Voltage Bank 1,48,P2
P2B8B,Intake Air O2 Sensor Heater Control Circuit/Open Bank 1,55,P2
P2B8C,Intake Air O2 Sensor Heater Control Circuit Range/Performance Bank 1,68,P2
P2B8D,Intake Air O2 Sensor Heater Control Circuit Low Bank 1,54,P2
P2B8E,Intake Air O2 Sensor Heater Control Circuit High Bank 1,55,P2
P2B8F,Turbocharger/Supercharger B Temperature Sensor Circuit,54,P2
P2B90,Turbocharger/Supercharger B Temperature Sensor Circuit Low,58,P2
P2B91,Turbocharger/Supercharger B Temperature Sensor Circuit High,59,P2
P2B92,Turbocharger/Supercharger B Temperature Sensor Circuit Circuit Range/Performance,80,P2
P2B93,Wastegate Position Sensor A Exceeded Learning Limit,51,P2
P2B94,Wastegate Position Sensor B Exceeded Learning Limit,51,P2
P2B95,Cold Start Injection Pulse Performance,38,P2
P2B96,Injection Pulse Performance,27,P2
P2B97,Exhaust Pressure Control Valve A Position Exceeded Learning Limit,65,P2
P2B98,Exhaust Pressure Control Valve A Supply Low,43,P2
P2B99,Exhaust Pressure Control Valve A Driver Current/Temperature Too High,68,P2
P2B9A,Reductant Quality Sensor Circuit Intermittent/Erratic,53,P2
P2B9B,Vehicle Conditions Incorrect for Particulate Matter Sensor Regeneration,71,P2
P2B9C,Coolant Pump A Stuck/Stalled,28,P2
P2B9D,Coolant Pump A Supply Voltage Circuit,37,P2
P2B9E,Coolant Pump A Control Module Overtemperature,45,P2
P2B9F,Coolant Pump B Underspeed,25,P2
P2BA0,Coolant Pump C Underspeed,25,P2
P2BA1,Coolant Pump D Underspeed,25,P2
P2BA2,Engine Coolant Pump Stuck/Stalled,33,P2
P2BA3,Starter/Generator Mechanical Performance,40,P2
P2BA4,Catalyst Feedgas Performance,28,P2
P2BA5,Particulate Filter Feedgas Performance,38,P2
P2BA6,NOx Exceedance - SCR NOx Catalyst Performance,45,P2
P2BA7,NOx Exceedence - Empty Reagent Tank,35,P2
P2BA8,NOx Exceedence - Interruption of Reagent Dosing Activity,56,P2
P2BA9,NOx Exceedence - Insufficient Reagent Quality,45,P2
P2BAA,NOx Exceedence - Low Reagent Consumption,40,P2
P2BAB,NOx Exceedence - Incorrect EGR Flow,35,P2
P2BAC,NOx Exceedence - Deactivation of EGR,36,P2
P2BAD,NOx Exceedence - Root Cause Unknown,35,P2
P2BAE,NOx Exceedence - NOx control monitoring system,46,P2
P2BAF,NOx System Driver Inducement Active,35,P2
P2BB0,Alternative Fuel Consumption Too Low,36,P2
P2BB1,Alternative Fuel Consumption Too High,37,P2
P2BB2,Alternative Fuel Tank Empty,27,P2
P2BB3,Fuel Pump Secondary Circuit Performance,39,P2
P2BB4,Engine Coolant Temperature Sensor 4 Circuit Intermittent/Erratic,64,P2
P2BB5,Engine Coolant Temperature Sensor 5 Circuit Intermittent/Erratic,64,P2
P2BB6,Engine Coolant Temperature Sensor 6 Circuit,43,P2
P2BB7,Engine Coolant Temperature Sensor 6 Circuit Range/Performance,61,P2
P2BB8,Engine Coolant Temperature Sensor 6 Circuit Low,47,P2
P2BB9,Engine Coolant Temperature Sensor 6 Circuit High,48,P2
P2BBA,Engine Coolant Temperature Sensor 6 Circuit Intermittent/Erratic,64,P2
P2BBB,Turbocharger/Supercharger Bypass Valve A Position Sensor Circuit,64,P2
P2BBC,Turbocharger/Supercharger Bypass Valve A Position Sensor Circuit Low,68,P2
P2BBD,Turbocharger/Supercharger Bypass Valve A Position Sensor Circuit High,69,P2
P2BBE,Turbocharger/Supercharger Bypass Valve A Position Exceeded Learning Limit,73,P2
P2BBF,Turbocharger/Supercharger Bypass Valve A Supply Voltage Low,59,P2
P2BC0,Turbocharger/Supercharger Bypass Valve A Driver Current/Temperature Too High,76,P2
P2BC1,Charge Air Cooler Coolant Pump A Stuck/Stalled,46,P2
P2BC2,Charge Air Cooler Coolant Pump A Supply Voltage Circuit,55,P2
P2BC3,Charge Air Cooler Coolant Pump A Control Module Overtemperature,63,P2
P2BC4,Battery Charging System Positive Contactor B Circuit,52,P2
P2BC5,Battery Charging System Positive Contactor B Stuck Closed,57,P2
P2BC6,Battery Charging System Positive Contactor B Stuck Open,55,P2
P2BC7,Battery Charging System Positive Contactor B Control Circuit/Open,65,P2
P2BC8,Battery Charging System Positive Contactor B Control Circuit Range/Performance,78,P2
P2BC9,Battery Charging System Positive Contactor B Control Circuit Low,64,P2
P2BCA,Battery Charging System Positive Contactor B Control Circuit High,65,P2
P2BCB,Battery Charging System Negative Contactor B Circuit,52,P2
P2BCC,Battery Charging System Negative Contactor B Stuck Closed,57,P2
P2BCD,Battery Charging System Negative Contactor B Stuck Open,55,P2
P2BCE,Battery Charging System Negative Contactor B Control Circuit/Open,65,P2
P2BCF,Battery Charging System Negative Contactor B Control Circuit Range/Performance,78,P2
P2BD0,Battery Charging System Negative Contactor B Control Circuit Low,64,P2
P2BD1,Battery Charging System Negative Contactor B Control Circuit High,65,P2
P2BD2,Exhaust Aftertreatment System A Leak,36,P2
P2BD3,Exhaust Aftertreatment System B Leak,36,P2
P2BD4,Motor Electronics Coolant Pump C Control Circuit/Open,53,P2
P2BD5,Motor Electronics Coolant Pump C Control Circuit Low,52,P2
P2BD6,Motor Electronics Coolant Pump C Control Circuit High,53,P2
P2BD7,Motor Electronics Coolant Pump C Control Performance,52,P2
P2BD8,Motor Electronics Coolant Temperature Sensor B Circuit,54,P2
P2BD9,Motor Electronics Coolant Temperature Sensor B Circuit Range/Performance,72,P2
P2BDA,Motor Electronics Coolant Temperature Sensor B Circuit Low,58,P2
P2BDB,Motor Electronics Coolant Temperature Sensor B Circuit High,59,P2
P2BDC,Motor Electronics Coolant Temperature Sensor C Circuit,54,P2
P2BDD,Motor Electronics Coolant Temperature Sensor C Circuit Range/Performance,72,P2
P2BDE,Motor Electronics Coolant Temperature Sensor C Circuit Low,58,P2
P2BDF,Motor Electronics Coolant Temperature Sensor C Circuit High,59,P2
P2BE0,Hybrid/EV Battery Coolant Level Sensor Circuit/Open,51,P2
P2BE1,Hybrid/EV Battery Coolant Level Sensor Range/Performance,56,P2
P2BE2,Hybrid/EV Battery Coolant Level Sensor Circuit Low,50,P2
P2BE3,Hybrid/EV Battery Coolant Level Sensor Circuit High,51,P2
P2BE4,Hybrid/EV Battery Pack Current Sensor C Circuit,47,P2
P2BE5,Hybrid/EV Battery Pack Current Sensor C Circuit Range/Performance,65,P2
P2BE6,Hybrid/EV Battery Pack Current Sensor C Low,43,P2
P2BE7,Hybrid/EV Battery Pack Current Sensor C High,44,P2
P2BE8,Hybrid/EV Battery Precharge Contactor Control Circuit B Open,60,P2
P2BE9,Hybrid/EV Battery Precharge Contactor Control Circuit B Range/Performance,73,P2
P2BEA,Hybrid/EV Battery Precharge Contactor Control Circuit B Low,59,P2
P2BEB,Hybrid/EV Battery Precharge Contactor Control Circuit B High,60,P2
P2BEC,Fuel Control System A Too Lean Bank 1,37,P2
P2BED,Fuel Control System A Too Rich Bank 1,37,P2
P2BEE,Fuel Control System A Too Lean Bank 2,37,P2
P2BEF,Fuel Control System A Too Rich Bank 2,37,P2
P2BF0,Fuel Control System B Too Lean Bank 1,37,P2
P2BF1,Fuel Control System B Too Rich Bank 1,37,P2
P2BF2,Fuel Control System B Too Lean Bank 2,37,P2
P2BF3,Fuel Control System B Too Rich Bank 2,37,P2
P2BF4,Exhaust Flow Control Valve A Position Circuit,45,P2
P2BF5,Exhaust Flow Control Valve A Position Circuit Range/Performance,63,P2
P2BF6,Exhaust Flow Control Valve A Position Circuit Low,49,P2
P2BF7,Exhaust Flow Control Valve A Position Circuit High,50,P2
P2BF8,Exhaust Flow Control Valve B Control Circuit/Open,49,P2
P2BF9,Exhaust Flow Control Valve B Control Circuit Low,48,P2
P2BFA,Exhaust Flow Control Valve B Control Circuit High,49,P2
P2BFB,Exhaust Flow Control Valve B Control Performance,48,P2
P2BFC,Exhaust Flow Control Valve B Position Circuit,45,P2
P2BFD,Exhaust Flow Control Valve B Position Circuit Range/Performance,63,P2
P2BFE,Exhaust Flow Control Valve B Position Circuit Low,49,P2
P2BFF,Exhaust Flow Control Valve B Position Circuit High,50,P2
P2C00,Fuel Pressure Regulator C Performance,37,P2
P2C01,Fuel Pressure Regulator D Performance,37,P2
P2C02,Fuel Pressure Regulator D Control Circuit/Open,46,P2
P2C03,Fuel Pressure Regulator D Control Circuit Low,45,P2
P2C04,Fuel Pressure Regulator D Control Circuit High,46,P2
P2C05,A Camshaft Profile Actuator Position Sensor A Circuit Bank 1,60,P2
P2C06,A Camshaft Profile Actuator Position Sensor A Range/Performance Bank 1,70,P2
P2C07,A Camshaft Profile Actuator Position Sensor A Circuit Low Bank 1,64,P2
P2C08,A Camshaft Profile Actuator Position Sensor A Circuit High Bank 1,65,P2
P2C09,A Camshaft Profile Actuator Position Sensor B Circuit Bank 1,60,P2
P2C0A,A Camshaft Profile Actuator Position Sensor B Range/Performance Bank 1,70,P2
P2C0B,A Camshaft Profile Actuator Position Sensor B Circuit Low Bank 1,64,P2
P2C0C,A Camshaft Profile Actuator Position Sensor B Circuit High Bank 1,65,P2
P2C0D,A Camshaft Profile Actuator Position Sensor C Circuit Bank 1,60,P2
P2C0E,A Camshaft Profile Actuator Position Sensor C Range/Performance Bank 1,70,P2
P2C0F,A Camshaft Profile Actuator Position Sensor C Circuit Low Bank 1,64,P2
P2C10,A Camshaft Profile Actuator Position Sensor C Circuit High Bank 1,65,P2
P2C11,Reductant Pump A Current Too Low,32,P2
P2C12,B Camshaft Profile Actuator Position Sensor A Circuit Bank 1,60,P2
P2C13,B Camshaft Profile Actuator Position Sensor A Range/Performance Bank 1,70,P2
P2C14,B Camshaft Profile Actuator Position Sensor A Circuit Low Bank 1,64,P2
P2C15,B Camshaft Profile Actuator Position Sensor A Circuit High Bank 1,65,P2
P2C16,B Camshaft Profile Actuator Position Sensor B Circuit Bank 1,60,P2
P2C17,B Camshaft Profile Actuator Position Sensor B Range/Performance Bank 1,70,P2
P2C18,B Camshaft Profile Actuator Position Sensor B Circuit Low Bank 1,64,P2
P2C19,B Camshaft Profile Actuator Position Sensor B Circuit High Bank 1,65,P2
P2C1A,B Camshaft Profile Actuator Position Sensor C Circuit Bank 1,60,P2
P2C1B,B Camshaft Profile Actuator Position Sensor C Range/Performance Bank 1,70,P2
P2C1C,B Camshaft Profile Actuator Position Sensor C Circuit Low Bank 1,64,P2
P2C1D,B Camshaft Profile Actuator Position Sensor C Circuit High Bank 1,65,P2
P2C1E,Cold Start Fuel Pressure Regulator A Performance,48,P2
P2C1F,Cold Start Fuel Pressure Regulator A Exceeded Control Limits - Pressure Too Low,79,P2
P2C20,Cold Start Fuel Pressure Regulator A Exceeded Control Limits - Pressure Too High,80,P2
P2C21,Engine Oil Temperature Sensor A/B Correlation,45,P2
P2C22,Exhaust Heat Exchanger Exhaust Bypass Valve A Position Sensor Circuit,69,P2
P2C23,Exhaust Heat Exchanger Exhaust Bypass Valve A Position Sensor Performance,73,P2
P2C24,Exhaust Heat Exchanger Exhaust Bypass Valve A Position Sensor Circuit Low,73,P2
P2C25,Exhaust Heat Exchanger Exhaust Bypass Valve A Position Sensor Circuit High,74,P2
P2C26,Fuel Injector Group B Supply Sense Circuit,42,P2
P2C27,Fuel Injector Group B Supply Sense Circuit Low,46,P2
P2C28,Fuel Injector Group B Supply Sense Circuit High,47,P2
P2C29,Turbocharger/Supercharger Bypass Valve B Stuck,46,P2
P2C2A,Turbocharger/Supercharger Bypass Valve B Position Sensor Circuit/Open,69,P2
P2C2B,Turbocharger/Supercharger Bypass Valve B Position Sensor Circuit Low,68,P2
P2C2C,Turbocharger/Supercharger Bypass Valve B Position Sensor Circuit High,69,P2
P2C2D,Turbocharger/Supercharger Bypass Valve B Position Exceeded Learning Limit,73,P2
P2C2E,Turbocharger/Supercharger Bypass Valve B Supply Voltage Low,59,P2
P2C2F,Turbocharger/Supercharger Bypass Valve B Driver Current/Temperature Too High,76,P2
P2C30,Ignition Coil Primary Circuit Fuse A,36,P2
P2C31,Ignition Coil Primary Circuit Fuse B,36,P2
P2C32,Crankcase Pressure Sensor B Circuit,35,P2
P2C33,Crankcase Pressure Sensor B Circuit Range/Performance,53,P2
P2C34,Crankcase Pressure Sensor B Circuit Low,39,P2
P2C35,Crankcase Pressure Sensor B Circuit High,40,P2
P2C36,Crankcase Pressure Sensor B Circuit Intermittent/Erratic,56,P2
P2C37,Cold Start Engine Coolant Pump Performance,42,P2
P2C38,Cylinder Head Temperature Sensor B Circuit,42,P2
P2C39,Cylinder Head Temperature Sensor B Range/Performance,52,P2
P2C3A,Cylinder Head Temperature Sensor B Circuit Low,46,P2
P2C3B,Cylinder Head Temperature Sensor B Circuit High,47,P2
P2C3C,Cylinder Head Temperature Sensor B Circuit Intermittent/Erratic,63,P2
